C:\Python27\python.exe F:/hhly/scrapy/law/law_rule/wenshu_law/test.py
《最高人民法院关于审理毒品案件定罪量刑标准有关问题的解释》 >>>>>>>>>>> 2579
中华人民共和国 >>>>>>>>>>> 1442
最高人民法院、最高人民检察院关于办理组织和利用邪教组织犯罪案件具体应用法律若干问题的解释二 >>>>>>>>>>> 957
最高人民法院关于适用的解释 >>>>>>>>>>> 538
全国人民代表大会常务委员会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 407
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 400
解释 >>>>>>>>>>> 269
中华人民共和国刑 >>>>>>>>>>> 265
最高人民法院 >>>>>>>>>>> 230
高人民法院关于审理破坏公用电信设施刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 226
最高人民法院、最高人民检察院 >>>>>>>>>>> 181
中华人民共和国刑法修正案（八） >>>>>>>>>>> 155
关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 151
全国人民代表大会常务委员会关于<中华人民共和国刑法>第九十三条第二款的解释 >>>>>>>>>>> 151
中华人民共和国刑法修正案（九） >>>>>>>>>>> 151
中华人民共和国刑事法 >>>>>>>>>>> 128
中华人民共和国刑事 >>>>>>>>>>> 120
关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 116
最高人民法院、最高人民检察院、公安部 >>>>>>>>>>> 108
最高人民法院、最高人民检察院关于办理刑事案件适用法律若干问题的解释 >>>>>>>>>>> 103
最高人民法院关于﹤中华人民共和国刑法修正案（八）﹥时间效力问题的解释 >>>>>>>>>>> 85
中华人民共和国刑法﹤javascript：SLC（17010，0）﹥ >>>>>>>>>>> 84
最高人民法院印发《全国部分法院审理毒品犯罪案件工作座谈会纪要》的通知 >>>>>>>>>>> 60
关于<中华人民共和国刑法>第九十三条第二款的解释 >>>>>>>>>>> 59
全国人民代表大会常务委员会关于﹤中华人民共和国刑法﹥第三百一十三条的解释 >>>>>>>>>>> 57
意见 >>>>>>>>>>> 57
中华人民共和国刑诉法 >>>>>>>>>>> 55
中华人民共和国法 >>>>>>>>>>> 52
全国人大常委会关于〈中华人民共和国刑法〉第九十三条第二款的解释 >>>>>>>>>>> 52
最高人民法院关于〈中华人民共和国刑法修正案（八）〉时间效力问题的解释 >>>>>>>>>>> 52
最高人民法院、最高人民检察院、公安部、司法部印发关于依法惩治拐卖妇女儿童犯罪的意见的通知 >>>>>>>>>>> 50
最高人民法院最高人民检察院 >>>>>>>>>>> 50
关于办理盗窃刑事案件执行具体数额标准的通知 >>>>>>>>>>> 48
中华人民共和国继承法 >>>>>>>>>>> 48
最高人民法院、最高人民检察院、公安部关于印发《办理毒品犯罪案件适用法律若干问题的意见》的通知 >>>>>>>>>>> 47
广西壮族自治区高级人民法院、广西壮族自治区人民检察院〈关于办理盗窃刑事案件执行具体数额标准的通知〉 >>>>>>>>>>> 47
中华人民共和国婚姻法 >>>>>>>>>>> 46
行政处罚法 >>>>>>>>>>> 46
中华人民共和国土地管理法（1988年修订） >>>>>>>>>>> 46
关于适用的解释 >>>>>>>>>>> 43
公安机关办理刑事案件程序规定 >>>>>>>>>>> 41
关于对我省盗窃犯罪数额认定标准的规定 >>>>>>>>>>> 40
全国人民代表大会常务委员会关于第九十三条第二款的解释 >>>>>>>>>>> 40
最高人民法院关于道路交通损害赔偿司法解释 >>>>>>>>>>> 40
最高人民法院、最高人民检察院关于印发《关于办理受贿刑事案件适用法律若干问题的意见》的通知 >>>>>>>>>>> 39
中华人民共和国刑法修正案 >>>>>>>>>>> 39
全国人民代表大会常务委员会关于＜中华人民共和国刑法＞第九十三条第二款的解释 >>>>>>>>>>> 39
四川省高级人民法院、四川省人民检察院关于我省盗窃罪具体数额执行标准的通知 >>>>>>>>>>> 38
贵州省高级人民法院贵州省人民检察院关于对我省盗窃犯罪数额认定标准的规定 >>>>>>>>>>> 38
全国人大常委会关于﹤中华人民共和国刑法﹥第九十三条第二款的解释 >>>>>>>>>>> 37
最高人民法院、最高人民检察院、司法部关于适用普通程序审理“被告人认罪”案件的若干意见 >>>>>>>>>>> 35
最高人民法院、最高人民检察院、公安部印发《关于办理侵犯知识产权刑事案件适用法律若干问题的意见》的通知 >>>>>>>>>>> 34
最高人民法院关于印发《全国法院审理经济犯罪案件工作座谈会纪要》的通知 >>>>>>>>>>> 34
关于办理刑事案件适用法律若干问题的解释 >>>>>>>>>>> 34
最高人民法院、最高人民检察院关于办理渎职刑事案件适用法律若干问题的解释 >>>>>>>>>>> 33
贵州省高级人民法院关于审理盗伐林木、滥伐林木刑事案件犯罪数量认定的意见 >>>>>>>>>>> 33
森林防火条例 >>>>>>>>>>> 32
最高人民法院〈关于刑事裁判涉财产部分执行的若干规定〉 >>>>>>>>>>> 32
最高人民法院、最高人民检察院关于办理生产、销售假药、劣药刑事案件具体应用法律若干问题的解释 >>>>>>>>>>> 32
中华人民共和国刑法第 >>>>>>>>>>> 32
最高人民法院关于审理道路交通损害赔偿案件适用法律若干问题的解释 >>>>>>>>>>> 31
最高人民法院、最高人民检察院印发关于办理职务犯罪案件认定自首、立功等量刑情节若干问题的意见的通知 >>>>>>>>>>> 31
关于适用中华人民共和国刑事诉讼法 >>>>>>>>>>> 31
刑法修正案（九） >>>>>>>>>>> 30
